ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
78,1680179794252207938,1.912,-0.503,2.303,1.813,-0.65,0.295,2.08,-0.41,0.296
79,1680179794353899481,2.025,0.249,-3.132,2.069,0.094,0.331,2.066,0.426,0.301
79,1680179794353899481,1.91,-0.508,2.332,1.826,-0.665,0.296,2.092,-0.411,0.309
80,1680179794454269553,2.003,0.229,3.1,2.029,0.069,0.325,2.043,0.403,0.303
80,1680179794454269553,1.918,-0.51,2.403,1.822,-0.668,0.313,2.061,-0.402,0.321
81,1680179794686075238,1.968,0.207,3.062,1.983,0.043,0.318,2.008,0.373,0.309
81,1680179794686075238,1.914,-0.518,2.366,1.82,-0.679,0.313,2.077,-0.418,0.326
82,1680179794749848662,1.917,0.158,3.136,1.935,-0.005,0.31,1.937,0.323,0.315
82,1680179794749848662,1.861,-0.545,2.328,1.784,-0.685,0.283,2.042,-0.44,0.299
83,1680179794848971984,1.903,0.137,-3.061,1.935,-0.015,0.306,1.91,0.304,0.316
83,1680179794848971984,1.856,-0.544,2.3,1.791,-0.693,0.292,2.059,-0.446,0.314
84,1680179794958597573,1.89,0.12,-2.965,1.945,-0.024,0.3,1.892,0.285,0.318
84,1680179794958597573,1.865,-0.551,2.346,1.783,-0.687,0.299,2.036,-0.439,0.318
85,1680179795049104813,1.892,0.119,-2.818,1.974,-0.026,0.299,1.873,0.275,0.324
85,1680179795049104813,1.87,-0.55,2.411,1.801,-0.694,0.3,2.034,-0.434,0.321
86,1680179795158774422,1.896,0.12,-2.735,1.994,-0.02,0.304,1.869,0.271,0.334
86,1680179795158774422,1.89,-0.529,2.408,1.795,-0.687,0.284,2.026,-0.43,0.311
87,1680179795252750378,1.893,0.124,-2.55,2.047,-0.0,0.305,1.86,0.278,0.334
87,1680179795252750378,1.913,-0.514,2.376,1.814,-0.682,0.289,2.06,-0.426,0.314
88,1680179795353624450,1.901,0.129,-2.46,2.062,0.015,0.311,1.846,0.282,0.333
88,1680179795353624450,1.913,-0.512,2.39,1.826,-0.678,0.298,2.072,-0.415,0.322
89,1680179795450559517,1.892,0.147,-2.203,2.097,0.062,0.333,1.789,0.287,0.323
89,1680179795450559517,1.939,-0.493,2.322,1.835,-0.65,0.306,2.114,-0.393,0.327
90,1680179795554446364,1.868,0.173,-2.008,2.131,0.108,0.362,1.76,0.282,0.319
90,1680179795554446364,1.949,-0.468,2.358,1.861,-0.624,0.319,2.123,-0.365,0.322
91,1680179795651596412,1.865,0.185,-1.962,2.094,0.141,0.365,1.765,0.274,0.324
91,1680179795651596412,1.962,-0.447,2.272,1.872,-0.594,0.312,2.168,-0.344,0.313
92,1680179795753733618,1.87,0.177,-1.97,2.002,0.165,0.363,1.769,0.263,0.327
92,1680179795753733618,1.971,-0.437,2.308,1.88,-0.581,0.316,2.159,-0.328,0.315
93,1680179795849569970,1.859,0.175,-2.254,1.843,0.183,0.34,1.758,0.251,0.32
93,1680179795849569970,1.962,-0.445,2.318,1.88,-0.58,0.318,2.161,-0.32,0.312
94,1680179795949719193,1.885,0.175,-2.177,1.824,0.195,0.341,1.759,0.238,0.323
94,1680179795949719193,1.959,-0.449,2.381,1.871,-0.583,0.318,2.115,-0.322,0.308
95,1680179796053500721,1.937,-0.454,2.331,1.858,-0.59,0.326,2.133,-0.332,0.315
96,1680179796153278691,1.904,-0.463,2.395,1.835,-0.605,0.327,2.084,-0.339,0.309
97,1680179796220128460,1.876,-0.475,2.339,1.808,-0.621,0.315,2.082,-0.356,0.304
98,1680179796349723870,1.864,-0.471,2.41,1.794,-0.631,0.309,2.039,-0.358,0.301
98,1680179796349723870,1.976,0.151,-2.083,2.056,0.127,0.326,1.874,0.229,0.321
99,1680179796453523375,1.831,-0.47,2.45,1.763,-0.633,0.314,1.992,-0.356,0.31
99,1680179796453523375,2.019,0.155,-1.963,2.321,0.077,0.338,1.917,0.243,0.325
100,1680179796556512653,1.79,-0.475,2.438,1.728,-0.62,0.317,1.958,-0.345,0.324
100,1680179796556512653,2.091,0.129,-2.343,2.277,0.023,0.314,2.019,0.271,0.327
101,1680179796650180623,1.782,-0.449,2.505,1.719,-0.605,0.31,1.923,-0.324,0.321
101,1680179796650180623,2.115,0.132,-2.637,2.226,-0.008,0.299,2.066,0.282,0.326
102,1680179796759457377,1.779,-0.424,2.551,1.711,-0.588,0.31,1.909,-0.298,0.307
102,1680179796759457377,2.122,0.143,-2.705,2.252,-0.017,0.303,2.105,0.299,0.323
103,1680179796850222974,1.775,-0.419,2.591,1.728,-0.588,0.319,1.909,-0.293,0.31
103,1680179796850222974,2.145,0.16,-3.049,2.168,-0.014,0.293,2.134,0.32,0.319
104,1680179796949832492,1.736,-0.426,2.597,1.711,-0.584,0.332,1.887,-0.288,0.314
104,1680179796949832492,2.146,0.183,-3.075,2.178,0.004,0.305,2.152,0.343,0.323
105,1680179797053385682,1.717,-0.432,2.614,1.691,-0.586,0.331,1.861,-0.295,0.315
105,1680179797053385682,2.142,0.193,3.064,2.162,0.039,0.311,2.184,0.371,0.323
106,1680179797150418168,1.708,-0.454,2.429,1.642,-0.597,0.317,1.88,-0.326,0.32
106,1680179797150418168,2.146,0.237,2.95,2.156,0.079,0.32,2.217,0.405,0.32
107,1680179797250244640,1.687,-0.448,2.407,1.613,-0.615,0.305,1.851,-0.352,0.316
107,1680179797250244640,2.136,0.265,2.807,2.13,0.113,0.324,2.236,0.427,0.32
108,1680179797354086661,1.666,-0.463,2.342,1.577,-0.62,0.306,1.826,-0.375,0.32
108,1680179797354086661,2.128,0.29,2.726,2.118,0.136,0.323,2.254,0.443,0.317
109,1680179797451509076,1.617,-0.489,2.167,1.522,-0.604,0.312,1.828,-0.399,0.338
109,1680179797451509076,2.116,0.278,2.629,2.106,0.167,0.327,2.268,0.455,0.316
